_nvars = 5948

_snvars = 5723

_ncons = 23733

_sncons = 21816

_nobjs = 1

solve_result = solved

WO = 631635

Sum_WSn_PR = 347.28

Sum_WSn_PR_LEX2 = 347.28

Sum_WSn = 347.28

Zp = 0

Zn = 173.64

Z_LEX3p = 0

Z_LEX3n = 173.64

_solve_elapsed_time = 2820.85

solve_message =
'CPLEX 22.1.1.0: optimal integer solution within mipgap or absmipgap; objective 631635\
54773088 MIP simplex iterations\
34083 branch-and-bound nodes\
absmipgap = 56.9443, relmipgap = 9.01538e-05'

_solve_time = 11245.5

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   1   0   0   0
2    0   0   0   0   0   0   1   0   0   0
3    0   0   0   0   0   0   1   0   0   0
4    0   0   0   0   0   0   1   0   0   0
5    0   0   0   0   0   0   1   0   0   0
6    1   0   0   0   0   0   1   0   0   0
7    1   0   0   0   0   0   0   0   0   0
8    1   0   0   0   0   0   0   0   0   0
9    1   0   1   0   0   1   1   0   0   0
10   1   0   1   0   0   1   1   0   0   0
11   1   0   1   0   0   1   1   0   0   0
12   0   0   1   0   0   1   1   0   0   0
13   0   0   1   0   0   1   1   0   0   0
14   1   0   1   0   0   1   1   0   0   0
15   1   0   0   0   0   0   0   0   0   0
16   1   0   0   0   0   0   0   0   0   0
17   1   0   0   0   0   0   1   0   0   0
18   1   0   0   0   0   0   1   0   0   0
19   1   0   0   0   0   0   1   0   0   0
20   0   0   0   0   0   0   1   0   0   0
21   0   0   0   0   0   0   1   0   0   0
22   1   0   0   0   0   0   1   0   0   0
23   1   0   0   0   0   0   0   0   0   0
24   1   0   0   0   0   0   0   0   0   0
25   1   0   0   0   0   0   1   0   0   0
26   1   0   0   0   0   0   1   0   0   0
27   1   0   0   0   0   0   1   0   0   0
28   0   0   0   0   0   0   1   0   0   0
29   0   1   0   0   0   0   1   0   1   0
30   0   1   0   0   0   0   1   0   1   0
31   0   1   0   0   0   0   0   0   1   0
32   0   1   0   0   0   0   0   0   1   0
33   0   1   0   0   0   0   0   0   1   0
34   0   1   0   0   0   0   0   0   1   0
35   0   1   0   0   0   0   0   0   1   0
36   0   1   0   0   0   0   0   0   1   0
37   0   1   0   0   0   0   0   0   1   0
38   0   1   0   0   0   0   0   0   1   0
39   0   1   0   0   1   0   0   0   1   0
40   0   1   0   0   1   0   0   0   1   0
41   0   0   0   0   1   0   0   0   0   0
42   0   0   0   0   1   0   0   0   0   0
43   0   0   0   0   1   0   0   0   0   0
44   0   0   0   0   1   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   1
2    0   0   0   0   0   0   0   0   0   1
3    0   0   0   0   0   0   0   0   0   1
4    0   0   0   0   0   0   0   0   0   1
5    0   0   0   0   0   0   0   0   0   1
6    0   0   0   0   0   0   0   0   0   1
7    0   0   0   0   0   0   0   0   0   1
8    0   0   0   0   0   0   0   0   0   1
