WO = 633298

Sum_WSn = 868.21

Zp = 0

Zn = 694.57

_solve_time = 53616.6

solve_message =
'CPLEX 20.1.0.0: time limit with integer solution; objective -8682169394\
101261451 MIP simplex iterations\
46073 branch-and-bound nodes\
absmipgap = 8.68221e+09, relmipgap = 1'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   1   0   0   0   0   0
2    0   0   0   0   1   0   0   0   0   0
3    0   0   0   0   1   0   0   0   0   0
4    0   0   0   0   1   0   0   0   0   0
5    0   0   0   0   1   0   0   0   0   0
6    0   0   0   0   1   0   1   0   0   0
7    0   0   0   0   0   0   1   0   0   0
8    0   0   0   0   0   0   1   0   0   0
9    0   0   0   0   0   0   1   0   0   0
10   0   0   0   0   0   0   1   0   0   0
11   0   0   0   0   0   1   1   0   0   0
12   0   0   0   0   0   1   0   0   0   0
13   0   0   0   0   0   1   0   0   0   0
14   0   0   0   0   0   1   0   0   0   0
15   0   1   0   0   0   1   0   0   0   0
16   0   1   0   0   0   1   0   0   0   0
17   0   1   0   0   0   0   0   0   1   1
18   0   1   0   0   0   0   0   0   1   1
19   0   1   0   0   0   0   0   0   1   1
20   0   1   0   0   0   0   0   0   1   1
21   0   1   0   0   0   0   0   0   1   1
22   0   1   0   0   0   0   0   0   1   1
23   0   1   0   0   0   0   0   0   1   1
24   0   1   0   0   0   0   0   0   1   1
25   0   1   0   0   0   0   0   0   1   1
26   0   1   0   0   0   0   0   0   1   1
27   0   0   0   0   0   0   0   0   1   1
28   0   0   0   0   0   0   0   0   1   1
29   0   0   0   0   1   0   0   0   0   0
30   0   0   0   0   1   0   0   0   0   0
31   0   0   0   0   1   0   0   0   0   0
32   0   0   1   0   1   0   0   0   0   0
33   0   0   1   0   1   0   0   0   0   0
34   0   0   1   0   1   0   0   0   0   0
35   1   0   1   0   0   0   0   0   0   0
36   1   0   1   0   0   0   0   0   0   0
37   1   0   1   0   0   0   0   0   0   0
38   1   0   0   0   0   0   0   0   0   0
39   1   0   0   0   0   0   0   0   0   0
40   1   0   1   0   0   0   0   0   0   0
41   0   0   1   0   0   0   0   0   0   0
42   0   0   1   0   0   0   0   0   0   0
43   0   0   1   0   0   0   0   0   0   0
44   0   0   1   0   0   0   0   0   0   0
45   0   0   1   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   1
2    0   0   0   0   0   0   0   0   0   1
3    0   0   0   0   0   0   0   0   0   1
4    0   0   0   0   0   0   0   0   0   1
5    0   0   0   0   0   0   0   0   0   1
6    0   0   0   0   0   0   0   0   0   1
7    0   0   0   0   0   0   0   0   0   1
8    0   0   0   0   0   0   0   0   0   1
9    0   0   0   0   0   0   0   0   0   1
10   0   0   0   0   0   0   0   1   0   1
11   0   0   0   0   0   0   0   1   0   1
12   0   0   0   0   0   0   0   1   0   1
13   0   0   0   0   0   0   0   1   0   0
14   0   0   0   0   0   0   0   1   0   0
15   0   0   0   0   0   0   0   1   0   0
16   0   0   0   0   0   0   0   1   0   0
17   0   0   0   0   0   0   0   1   0   0
18   0   0   0   0   0   0   0   1   0   0
19   0   0   0   0   0   0   0   1   0   0
20   0   0   0   0   1   0   0   1   0   0
21   0   0   0   0   1   0   0   1   0   0
22   0   0   0   0   1   0   0   0   0   0
23   0   0   0   0   1   0   0   0   0   0
24   0   0   0   0   1   0   0   0   0   0
25   0   0   0   0   1   0   0   0   0   0
26   0   0   0   0   0   0   1   0   0   0
27   0   0   0   0   0   0   1   0   0   0
28   0   0   0   0   0   0   1   0   0   0
29   0   0   0   0   0   0   1   0   0   0
30   0   0   0   0   0   0   1   0   0   0
31   0   0   0   1   0   0   1   0   0   0
32   0   0   0   1   0   0   0   0   0   0
33   0   0   0   1   0   0   0   0   0   0
34   0   0   0   1   0   0   1   0   0   0
35   0   0   0   1   0   0   1   0   0   0
36   0   0   0   1   0   0   1   0   0   0
37   0   0   0   0   0   0   1   0   0   0
38   0   0   0   0   0   0   1   0   0   0
39   0   0   0   0   0   0   1   0   0   0
40   0   0   0   0   0   1   0   0   0   0
41   0   0   0   0   0   1   0   0   0   0
42   0   0   0   0   0   1   0   0   0   0
43   0   0   0   0   0   1   0   0   0   0
44   0   0   0   0   0   1   0   0   0   0
45   0   0   0   0   0   1   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   1   0   0   0   0   0   0
2    0   0   0   1   0   0   0   0   0   0
3    0   0   0   1   0   0   0   0   0   0
4    0   0   0   1   0   0   0   0   0   0
5    1   0   0   1   0   0   0   0   0   0
6    1   0   0   1   0   0   0   0   0   0
7    1   0   0   0   0   0   0   0   0   0
8    1   0   0   0   0   0   0   0   0   0
9    1   0   0   1   1   0   0   0   0   0
10   1   0   0   1   1   0   0   0   0   0
11   0   0   0   1   1   0   0   0   0   0
